Eigvals,8,,,,,,,
8.076639779,8.012251605,0.1596481335,0,0,0,0,0,
,,,,,,,,
Proportion explained,8,,,,,,,
0.4970686609,0.4931059555,0.009825383591,0,0,0,0,0,
,,,,,,,,
Species,0,0,,,,,,
,,,,,,,,
Site,8,8,,,,,,
WT1_R3TK43_d7_COLON,-1.058573585,-0.4006567385,0.1283198777,0,0,0,0,0
WT2_L1TK28_D7_COLON,-1.012078532,-0.4232584768,0.1290096487,0,0,0,0,0
WT3_L1TK41_d7_COLON,-0.650579933,0.5854409941,-0.1964768179,0,0,0,0,0
WT4_R1TK44_d7_COLON,-1.166950192,-0.2232236969,-0.1522090204,0,0,0,0,0
KO1_R3L1TK43_d7_COLON,1.253518572,-0.4254091753,-0.0675519654,0,0,0,0,0
KO2_R1R3TK28_d7_COLON,0.5334793179,2.406329446,0.1147893134,0,0,0,0,0
KO3_L3TK40_d7_COLON,1.254718309,-0.4815865192,-0.1296883867,0,0,0,0,0
KO4_TK44L1_d7_COLON,0.8464660425,-1.037635834,0.1738073505,0,0,0,0,0
,,,,,,,,
Biplot,0,0,,,,,,
,,,,,,,,
Site constraints,0,0,,,,,,