MouseID,Weight_Percent_of_Baseline,Diet,Collection 
three_0,100,Control,Week0
three_1,100,Control,Week0
three_2,100,Control,Week0
three_3,100,Control,Week0
four_0,100,BD,Week0
four_1,100,BD,Week0
four_2,100,BD,Week0
four_3,100,BD,Week0
five_0,100,BD_supp,Week0
five_1,100,BD_supp,Week0
five_2,100,BD_supp,Week0
five_3,100,BD_supp,Week0
three_0,136,Control,Week12
three_1,144,Control,Week12
three_2,131,Control,Week12
three_3,127,Control,Week12
four_0,108,BD,Week12
four_1,123,BD,Week12
four_2,113,BD,Week12
five_0,118,BD_supp,Week12
five_1,142,BD_supp,Week12
five_2,138,BD_supp,Week12
five_3,119,BD_supp,Week12
three_1,128,Control,Week4
three_2,118,Control,Week4
three_3,120,Control,Week4
four_0,114,BD,Week4
four_1,126,BD,Week4
four_2,117,BD,Week4
four_3,122,BD,Week4
five_0,114,BD_supp,Week4
five_1,129,BD_supp,Week4
five_2,122,BD_supp,Week4
five_3,114,BD_supp,Week4
three_0,132,Control,Week8
three_1,136,Control,Week8
three_2,129,Control,Week8
three_3,128,Control,Week8
four_0,119,BD,Week8
four_1,130,BD,Week8
four_2,119,BD,Week8
four_3,125,BD,Week8
five_0,116,BD_supp,Week8
five_1,132,BD_supp,Week8
five_2,132,BD_supp,Week8
five_3,118,BD_supp,Week8