	S190905.5.1	S190905.5.2	S190905.5.3	S191002.3.1	S191002.3.2	S191002.3.3	S191003.4.0	S191002.4.1	S191002.4.2	S191002.4.3	S190905.3.0	S191003.5.0	S191003.5.1	S191003.5.2	S191002.5.3	S191030.3.0	S191030.3.1	S191030.3.2	S191030.3.3	S191030.4.0	S191030.4.1	S190905.3.1	S191030.4.2	S191030.4.3	S191030.5.0	S191030.5.1	S191030.5.2	S191030.5.3	S191126.3.0	S191126.3.1	S191126.3.2	S191126.3.3	S190905.3.2	S191126.4.0	S191126.4.1	S191126.4.2	S191126.5.0	S191126.5.1	S191126.5.2	S191126.5.3	S190905.3.3	S190905.4.0	S190905.4.1	S190905.4.2	S190905.4.3	S190905.5.0
S190905.5.1	0.0	0.8126015918863858	0.5198452723912508	2.3217469242002604	2.188134930805622	2.6820081643911986	2.8232668674903887	2.8223249503135954	3.110172677187719	2.5967093061604998	0.534739776297106	2.776743251262185	2.6551315481746585	2.5150646186654626	2.5592806277666957	2.1983214616391065	2.8064024460537027	2.2883946796040786	2.059971085597803	2.719104600831162	2.460459004958623	0.4654905354841086	2.33279124150717	2.4747130775135715	2.216477877051513	2.1833394130217427	2.2682079293947632	2.123359508208003	2.8594979417210853	3.050374950357221	2.2388566813924595	2.296369970391694	0.5124018495776359	2.373826207610999	2.2199076858595657	1.9041656132648175	1.7550787047481329	2.4719081254223942	1.8379010649701353	2.0052921676397046	0.10404456539892899	0.4261573683124327	0.6985234736854692	0.4451646809953003	0.5326396936886892	0.21391448358385154
S190905.5.2	0.8126015918863858	0.0	0.4420934074273486	1.5780079033767302	1.5131723552139738	1.9963986204103887	2.184110088966616	2.083301138315505	2.3271929558602973	2.004388963777023	1.1776711476597852	2.160329118112803	1.8864373897791424	1.7531739720023085	1.890925935827581	1.4689713502192476	2.196495790125582	1.8207340295546466	1.3149214943600573	2.031295538889428	1.8253914823471344	1.111755897031924	1.6710357394675117	1.90417667865226	1.4766929146367518	1.7395824505722983	1.5306201104699648	1.464381783056696	2.4251657823078294	2.6743514838132048	1.496896667416128	1.554253900531298	1.127149559626911	1.732482873705944	1.5655954998343264	1.4858157412438262	1.363627418289586	2.1098855273560755	1.4847385379800893	1.4439105900989355	0.712840414938114	1.1053364716098495	1.4889695945136936	1.0932529095723895	0.4318978311706732	0.738319720088267
S190905.5.3	0.5198452723912508	0.4420934074273486	0.0	1.8819166016214621	1.7205235472312226	2.186336118085233	2.3215383433511625	2.3627194959480686	2.679493969203217	2.1042512328105425	0.753387386260755	2.586126461447088	2.2455083716957014	2.0791789782617043	2.0614293675779556	1.7378698967353912	2.6235323039312224	1.8282635158046534	1.6521027170719198	2.4591658124448577	1.971953412947417	0.6905102992269477	1.8411715195088836	1.9848182141498814	1.8030870056214148	2.122489567751391	1.8887913746453497	1.655627623218874	2.8149055747370597	3.0480126290019287	1.8675545086459608	1.8748167670312674	0.6984582923831415	1.8731686951609199	1.9788885085843366	1.4535026804557698	1.7075703935895354	2.474481441250722	1.8294540557253187	1.8452170806469963	0.4205560883789288	0.6998859094252617	1.1108257561947796	0.6741979107538055	0.1802778512313589	0.5207183603210982
S191002.3.1	2.3217469242002604	1.5780079033767302	1.8819166016214621	0.0	0.46791728847116726	0.7915164000494244	1.1197875693132107	0.5323160651404728	0.8624570156666953	1.10514045615749	2.5909265661361442	1.7825126592172238	0.4924570677809986	0.23184724867688075	0.8063820214413272	0.23245571911394608	1.8558663402723958	1.3046688564643731	0.340278498975435	1.4072788306768513	0.8192482428108054	2.5197182697720457	0.6904245417590231	1.1198615064278084	0.21092317961965767	2.0059081827015097	0.42967325177280113	0.5379786298723201	2.5246229624990644	2.8462970778948335	0.4993708584733856	0.13710339768572752	2.51313443386043	0.8612347268995159	1.2061485496195476	1.3205620037500543	1.7981396411723585	2.4902705851441307	2.0124679917545394	1.4942775049574781	2.227167164894128	2.5643048140657134	2.947776086414487	2.498427216566373	1.8122691080452416	2.3003100751195666
S191002.3.2	2.188134930805622	1.5131723552139738	1.7205235472312226	0.46791728847116726	0.0	0.5787846898383789	0.8336990916817774	0.7152109455423882	1.2438440336471082	0.7184602239333906	2.370580691476398	2.203039601141981	0.9508461655262187	0.6676181771824191	0.5138034014421731	0.2672283813600318	2.275769434839201	0.8389667278288924	0.638198163803549	1.8477172915185822	0.4380706292938076	2.304913399602517	0.30885374312424413	0.698332095561148	0.5960368247163006	2.317192187845613	0.8398683807288413	0.08715008635420428	2.8954652347660566	3.2118776015784194	0.9054978279400072	0.570330533322289	2.288685087612923	0.48250923273311513	1.5748512588805255	0.870170756833765	2.027142483386952	2.809652806873101	2.2562747239098258	1.8017095896415727	2.0945567179682483	2.3659173844409036	2.7531877394265076	2.2856286587493413	1.6572140587768338	2.1951964793733216
S191002.3.3	2.6820081643911986	1.9963986204103887	2.186336118085233	0.7915164000494244	0.5787846898383789	0.0	0.33600838402474587	0.6017525783489291	1.1773450035933943	0.44881561216411703	2.812824120490964	2.542994567519731	1.1143336732383144	0.8502596121696333	0.15242063003725304	0.6783844237090224	2.612970159332245	0.8938462236609455	1.0889058325981114	2.1507514026257435	0.3103255039377714	2.758031105026951	0.35852232908147613	0.5447302458579659	0.996097226708778	2.776162747143108	1.2195476921419512	0.6271061220658593	3.2974541773879578	3.6204970413093545	1.2889111431372988	0.9262811279153083	2.736192919259097	0.37567590370129345	1.9928531057232801	1.1171992557072972	2.5458219848613455	3.250744715222141	2.759163321462657	2.269621671708729	2.5853320990118096	2.8173543899172064	3.221876391228916	2.7427880462523904	2.1509516104476574	2.678809342329915
S191003.4.0	2.8232668674903887	2.184110088966616	2.3215383433511625	1.1197875693132107	0.8336990916817774	0.33600838402474587	0.0	0.9078410380506349	1.4717192347792436	0.2986667495981273	2.894779078628724	2.877505930550311	1.447610992395011	1.1862089580822976	0.33440769259783776	0.9841685738839807	2.9469014169866243	0.8057351051169568	1.402664845972243	2.48593686728218	0.42199930728646257	2.8473334067647738	0.5515521601510718	0.4337330803658241	1.3197486962776186	3.0914581608708303	1.5489180940108915	0.8565518182760526	3.625128440023155	3.9476361754286877	1.6183344400493767	1.2542486406397624	2.8196149465649425	0.45439998359502304	2.3201917661750318	1.1071972449774103	2.842516920701429	3.5655888303762477	3.0576248597812263	2.585148427804224	2.728498699489642	2.9127505492938117	3.3159735800043313	2.834660743572936	2.297810121933446	2.830329006111371
S191002.4.1	2.8223249503135954	2.083301138315505	2.3627194959480686	0.5323160651404728	0.7152109455423882	0.6017525783489291	0.9078410380506349	0.0	0.6271075265963517	1.0184554542451318	3.0520510290442533	2.08355472594826	0.60881949145289	0.43624731846024456	0.7125067947690913	0.6255057769947593	2.157361829253229	1.3796575812195748	0.8655488224866559	1.6763238851480255	0.7945138100803603	2.9851033463538434	0.7598696269626046	1.0978986992285036	0.7125295620959914	2.44626227664104	0.8520005251124458	0.8011882938490192	2.892388039950152	3.215546527046472	0.926232293567034	0.6184943131359586	2.9731340745200843	0.8892720060708088	1.6116229190095306	1.5357545944040725	2.2867671467236645	2.9167109313736703	2.4965323221169955	1.9471054727358335	2.726686717952816	3.036058652341132	3.4267968524061763	2.9653280938290707	2.3015572249414307	2.8052554376375345
S191002.4.2	3.110172677187719	2.3271929558602973	2.679493969203217	0.8624570156666953	1.2438440336471082	1.1773450035933943	1.4717192347792436	0.6271075265963517	0.0	1.6187835391555776	3.41250745054796	1.7346152673652766	0.48561551603232234	0.6331424611768511	1.289882901649913	1.0509654047662726	1.7996469495768346	1.9874582629333994	1.0744957104806214	1.3228299005440922	1.3961877632476214	3.343294406366534	1.3292514401148317	1.6979339136972578	0.9393441195550286	2.272174579456268	0.9202777090949187	1.3294541245464269	2.5835660247911814	2.90079429871624	0.9551189359816921	0.8663314820566524	3.3401881767454724	1.4553690373463872	1.4581242396167993	2.1031605143434784	2.2516261464525367	2.688915500560516	2.4173853140474977	1.8382721465603875	3.0144250193852806	3.3755372252879736	3.7643712830321023	3.322758125977969	2.621795458518967	3.061045215776385
S191002.4.3	2.5967093061604998	2.004388963777023	2.1042512328105425	1.10514045615749	0.7184602239333906	0.44881561216411703	0.2986667495981273	1.0184554542451318	1.6187835391555776	0.0	2.646554155888089	2.8829985926437027	1.5076656657623135	1.2256966305570214	0.34843658204114614	0.9296084371940149	2.953931010648198	0.5082831978504452	1.3426040451824415	2.5078044379224345	0.28897908645394976	2.598548304349168	0.4416157710289466	0.14201812654599452	1.2825304320505306	3.0232475748975274	1.5241443434088504	0.7121009929451491	3.595613730024244	3.914249124437941	1.593157861654209	1.232927375596137	2.568715686036917	0.32005206638719247	2.280939712003848	0.8176565770765288	2.7299281157233444	3.506464681276285	2.954115074766831	2.5134556821555143	2.505325609868333	2.671220919112471	3.064203625980408	2.5855754165758054	2.0749284413950337	2.6192794762886797
S190905.3.0	0.534739776297106	1.1776711476597852	0.753387386260755	2.5909265661361442	2.370580691476398	2.812824120490964	2.894779078628724	3.0520510290442533	3.41250745054796	2.646554155888089	0.0	3.266205663053897	2.978705489734535	2.7996500791837273	2.6749468553441678	2.4315238758673914	3.2997948563826327	2.279542788712247	2.375346681562692	3.174524841065932	2.565065468140388	0.09734568270969263	2.4618173472147977	2.512712741472467	2.519594446675762	2.707665956585065	2.612687642160423	2.2955787190497583	3.3886195076433867	3.5836385703365714	2.5962262562367964	2.589329987801963	0.10034981684148137	2.4677556410731767	2.6770851839204375	1.8920814993282429	2.270820311262251	3.00366644095745	2.3673401317960456	2.497372582288455	0.5710184458194764	0.1324032318711137	0.44746192663238127	0.13095791059856304	0.8163011930824345	0.6659380509551919
S191003.5.0	2.776743251262185	2.160329118112803	2.586126461447088	1.7825126592172238	2.203039601141981	2.542994567519731	2.877505930550311	2.08355472594826	1.7346152673652766	2.8829985926437027	3.266205663053897	0.0	1.4769091571327744	1.7019577060843165	2.5725876850153666	1.9604685534179627	0.08981059167454	3.017600347151502	1.574393403296432	0.4148861814721133	2.597852302165572	3.187265329239487	2.4527998102202884	2.8864448795084057	1.6131851533744779	0.8215964576993211	1.3759719083774269	2.244284379456955	0.8621399612185255	1.1719958626401548	1.3009444837656061	1.6596367460092165	3.2134367250143723	2.612312082830906	0.6974250047040892	2.9072856367562836	1.1631707615027636	1.0835475272447248	1.1642280329144032	0.7953243759346128	2.7114175215933685	3.176126539360624	3.4542557153510063	3.162327672038235	2.5060928646905034	2.6862050502726804
S191003.5.1	2.6551315481746585	1.8864373897791424	2.2455083716957014	0.4924570677809986	0.9508461655262187	1.1143336732383144	1.447610992395011	0.60881949145289	0.48561551603232234	1.5076656657623135	2.978705489734535	1.4769091571327744	0.0	0.29086140157228374	1.1799026286470893	0.7164253256326305	1.5495041499225641	1.7740980785895815	0.6127182364794989	1.068708890388903	1.2380293950587846	2.905346290796629	1.1296451795746634	1.5499251522306066	0.4907261678709472	1.8880820863401002	0.4356249794688729	1.0262614444925866	2.2924178715364607	2.615392087846591	0.4710173470959917	0.4402813025959277	2.905117156794984	1.2870154767536721	1.052291111923584	1.812180361490362	1.8042836769681998	2.3415854808127405	1.9886976781532484	1.415830082323687	2.562043274300851	2.9376867752645985	3.3137988374555687	2.8832153557546345	2.175709232224653	2.611717564369519
S191003.5.2	2.5150646186654626	1.7531739720023085	2.0791789782617043	0.23184724867688075	0.6676181771824191	0.8502596121696333	1.1862089580822976	0.43624731846024456	0.6331424611768511	1.2256966305570214	2.7996500791837273	1.7019577060843165	0.29086140157228374	0.0	0.9016909255502915	0.4407581557947547	1.7744586824853081	1.4862290392394637	0.4814051382471279	1.3058589284857818	0.9520258480990288	2.7289019162825054	0.8393682323654095	1.2623289832730984	0.33721720442952163	2.0181984866916713	0.4433095506109544	0.7459165797923669	2.4842911380945973	2.8080880765632488	0.5061380697257696	0.25232522309125127	2.724013725722949	0.998965795196933	1.1940267697031328	1.532393419133391	1.8679550483844298	2.488236694575073	2.068383359200947	1.5213666547879194	2.4199092465277965	2.7683563256434796	3.1537067025166574	2.7077989347502496	2.0136961254535617	2.482743279549038
S191002.5.3	2.5592806277666957	1.890925935827581	2.0614293675779556	0.8063820214413272	0.5138034014421731	0.15242063003725304	0.33440769259783776	0.7125067947690913	1.289882901649913	0.34843658204114614	2.6749468553441678	2.5725876850153666	1.1799026286470893	0.9016909255502915	0.0	0.653634446176551	2.641985558299355	0.7627276563022942	1.0731999412520792	2.189603438660698	0.1905707154830063	2.6216442549214634	0.23964238787509348	0.41859812483612535	1.0000270060755725	2.760436800308687	1.2350424107939317	0.5445413776074423	3.3045379968025625	3.6259817275224795	1.3017013756238518	0.9410415205896134	2.598524052284677	0.22377929578098843	1.9977492596316953	0.9720663999488419	2.5087272990720426	3.2365878302631583	2.723236563441846	2.254037340023781	2.463137487630172	2.682501136019113	3.0870701643573653	2.6069619882255566	2.0290961271133616	2.560067802437196
S191030.3.0	2.1983214616391065	1.4689713502192476	1.7378698967353912	0.23245571911394608	0.2672283813600318	0.6783844237090224	0.9841685738839807	0.6255057769947593	1.0509654047662726	0.9296084371940149	2.4315238758673914	1.9604685534179627	0.7164253256326305	0.4407581557947547	0.653634446176551	0.0	2.031364408785193	1.097197756033633	0.41994492035258774	1.5987524980831564	0.645043937953151	2.3638626666853684	0.495189475974543	0.9260379278451678	0.3688298593565084	2.11392539963982	0.6122164531981907	0.32996767292924345	2.668234030107174	2.9876988105518167	0.6718273497862148	0.3396695678655266	2.3535175172344656	0.6635250023225796	1.353099654052572	1.1001231403734921	1.8675042721439976	2.598675936938037	2.083967032703891	1.6027867232051607	2.102363191402368	2.4125007087552115	2.804098015439475	2.343962669648374	1.6765324424804515	2.1837687477636085
S191030.3.1	2.8064024460537027	2.196495790125582	2.6235323039312224	1.8558663402723958	2.275769434839201	2.612970159332245	2.9469014169866243	2.157361829253229	1.7996469495768346	2.953931010648198	3.2997948563826327	0.08981059167454	1.5495041499225641	1.7744586824853081	2.641985558299355	2.031364408785193	0.0	3.089416061724875	1.6458756549605826	0.48553891455468395	2.6696456213140816	3.221951785196227	2.5226360616894703	2.9568517218385555	1.687804817026195	0.8133601380278468	1.4526680508934575	2.316630413562821	0.7975379300214459	1.105525367330992	1.3761488712815124	1.734515364859902	3.2492004826587126	2.680176364557081	0.7673805693113376	2.975230551329496	1.1907104339334795	1.0347206306278647	1.170205561709523	0.8385089888825512	2.742041367832135	3.2072862237656685	3.4828216368464346	3.1974082896870555	2.547097942007233	2.7107788848387355
S191030.3.2	2.2883946796040786	1.8207340295546466	1.8282635158046534	1.3046688564643731	0.8389667278288924	0.8938462236609455	0.8057351051169568	1.3796575812195748	1.9874582629333994	0.5082831978504452	2.279542788712247	3.017600347151502	1.7740980785895815	1.4862290392394637	0.7627276563022942	1.097197756033633	3.089416061724875	0.0	1.4446473650166238	2.677591862203095	0.6048993024662147	2.2325857552457604	0.6853236456436039	0.3825573252029078	1.4275683591818795	3.0305376562525357	1.6669481795859338	0.7815548959104596	3.659140582853984	3.9666978387786305	1.7303704025582969	1.4075419709604777	2.1974448823620616	0.6062178243727268	2.3598409128401605	0.38990732165366576	2.663959096049364	3.5200188738004035	2.8990944821492572	2.5283639166338205	2.2065389339080417	2.3209162997589803	2.6863800465543415	2.219691744402083	1.7900550684056287	2.3445710818867957
S191030.3.3	2.059971085597803	1.3149214943600573	1.6521027170719198	0.340278498975435	0.638198163803549	1.0889058325981114	1.402664845972243	0.8655488224866559	1.0744957104806214	1.3426040451824415	2.375346681562692	1.574393403296432	0.6127182364794989	0.4814051382471279	1.0731999412520792	0.41994492035258774	1.6458756549605826	1.4446473650166238	0.0	1.239203230965972	1.0576315612571086	2.2999201308031902	0.9069398531406337	1.3274351238396456	0.16811083474987681	1.699898826283703	0.28125818393331625	0.6719065184359657	2.2586913954928556	2.576347531605575	0.30833344821877523	0.2562752766985008	2.299478490528195	1.071524552392243	0.9398909579899424	1.36811024529001	1.46674241754227	2.1906911132577456	1.6823027410900764	1.1852848069233513	1.9677457328417882	2.3369223999265287	2.7081256684869843	2.277031536215984	1.5724582702178624	2.0317199998821667
S191030.4.0	2.719104600831162	2.031295538889428	2.4591658124448577	1.4072788306768513	1.8477172915185822	2.1507514026257435	2.48593686728218	1.6763238851480255	1.3228299005440922	2.5078044379224345	3.174524841065932	0.4148861814721133	1.068708890388903	1.3058589284857818	2.189603438660698	1.5987524980831564	0.48553891455468395	2.677591862203095	1.239203230965972	0.0	2.2246992558078498	3.09581230973509	2.0854916481372108	2.521072810771823	1.2545842948507984	1.0665000391326407	1.0187470507897847	1.8970000676290104	1.2648826927706176	1.5808235799322108	0.9494245971757967	1.2894365503003276	3.1153226536844856	2.245305693556845	0.5314711505582831	2.6012626596698722	1.2619684012331756	1.422031000902717	1.3356083000642611	0.8199685742730835	2.6434375481864296	3.09564935788444	3.408714761583843	3.0712544563120696	2.3807406857055917	2.6373016674698073
S191030.4.1	2.460459004958623	1.8253914823471344	1.971953412947417	0.8192482428108054	0.4380706292938076	0.3103255039377714	0.42199930728646257	0.7945138100803603	1.3961877632476214	0.28897908645394976	2.565065468140388	2.597852302165572	1.2380293950587846	0.9520258480990288	0.1905707154830063	0.645043937953151	2.6696456213140816	0.6048993024662147	1.0576315612571086	2.2246992558078498	0.0	2.5097117670838216	0.18061063090656437	0.31537158856009595	0.9940795849503252	2.7458753288501723	1.235694490788338	0.44582368286485535	3.312799273879649	3.6316788928990658	1.3052510248910427	0.9452780090809875	2.4851866687526285	0.19087760490517516	1.9945246493480868	0.816023523180517	2.4616399073982405	3.232033011382784	2.6869938791357426	2.233366105567412	2.367172983494672	2.577692402058836	2.9720191912101233	2.4941566252307235	1.9299743753931613	2.4753738128389737
S190905.3.1	0.4654905354841086	1.111755897031924	0.6905102992269477	2.5197182697720457	2.304913399602517	2.758031105026951	2.8473334067647738	2.9851033463538434	3.343294406366534	2.598548304349168	0.09734568270969263	3.187265329239487	2.905346290796629	2.7289019162825054	2.6216442549214634	2.3638626666853684	3.221951785196227	2.2325857552457604	2.2999201308031902	3.09581230973509	2.5097117670838216	0.0	2.4051687638457517	2.4654862627875636	2.4443784111337705	2.6304454571527507	2.5343404347216243	2.230224345556356	3.31486251919413	3.5117681418217073	2.5179377751934204	2.5152526415083245	0.057481242560363466	2.4168889857898384	2.5949303914670967	1.843658351387469	2.186836190441718	2.93411063990122	2.2891355491872383	2.41500088576319	0.5003713996045173	0.13693963374244386	0.4731781010718882	0.0338092458642158	0.7383073595060092	0.6159209155775027
